"No.","Time","Source","Destination","Protocol","Length","Info"
"60","52.090987","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","UplinkNASTransport, Attach complete, Activate default EPS bearer context accept"
"61","52.091302","10.100.0.20","20.100.0.20","SGSAP","74","SGsAP-TMSI-REALLOCATION-COMPLETE"
"62","52.091354","10.100.0.11","20.100.0.11","GTPv2","99","Modify Bearer Request"
"63","52.091404","20.100.0.1","10.100.0.1","S1AP","858","UECapabilityInfoIndication, UECapabilityInformation[Malformed Packet]"
"64","52.095671","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"65","52.095887","10.100.0.6","20.100.0.6","DIAMETER","778","cmd=3GPP-Notify Request(323) flags=RP-- appl=3GPP S6a/S6d(16777251) h2h=3d88d8b6 e2e=ba15a26f | "
"66","52.109384","10.100.0.23","20.100.0.23","S1AP/NAS-EPS","110","DownlinkNASTransport, EMM information"
"67","52.109283","20.100.0.20","10.100.0.20","SGSAP","102","SGsAP-MM-INFORMATION-REQUEST"
"68","52.109468","10.100.0.1","20.100.0.1","S1AP/NAS-EPS","134","DownlinkNASTransport, EMM information"
"69","52.121473","20.100.0.6","10.100.0.6","DIAMETER","322","cmd=3GPP-Notify Answer(323) flags=-P-- appl=3GPP S6a/S6d(16777251) h2h=3d88d8b6 e2e=ba15a26f | "
"70","53.134110","20.100.0.1","10.100.0.1","S1AP","1270","UECapabilityInfoIndication, UECapabilityInformation[Malformed Packet]"
"71","53.200356","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"72","53.200502","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"73","53.245429","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"74","53.245534","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"75","91.492374","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"76","91.492222","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"77","91.545753","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"78","91.545886","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"79","91.626264","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"80","91.626135","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"81","91.646197","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"82","91.646295","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"83","128.113066","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"84","128.112934","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"85","128.146862","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"86","128.146736","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"87","128.745457","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"88","128.745638","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"89","128.796234","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"90","128.796365","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"91","224.492223","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
